run_id,model,target,split,precision,recall,f1,roc_auc,pr_auc,predicted_positive_rate,recall_at_10pct,precision_at_10pct,threshold
20260309T041750Z,lightgbm,rth_next_30d,val,0.1415384615384615,0.4722792607802875,0.2178030303030303,0.7906597935566027,0.2064502208449276,0.099993846532521,0.4722792607802875,0.1415384615384615,0.0886817013988277
20260309T041750Z,lightgbm,rth_next_30d,test,0.0956112852664576,0.3536231884057971,0.1505243676742751,0.7701495530043327,0.156174492999945,0.0976580437777437,0.3594202898550724,0.0949464012251148,0.0886817013988277
20260309T042030Z,lightgbm,fall_next_30d,val,0.3575384615384615,0.4358589647411853,0.3928329952670723,0.8126502147724892,0.3465612766086139,0.099993846532521,0.4358589647411853,0.3575384615384615,0.3289863057446457
20260309T042030Z,lightgbm,fall_next_30d,test,0.3194555644515612,0.4104938271604938,0.3592976136875281,0.7923593714803314,0.2766551093207047,0.0955916118169294,0.4176954732510288,0.3108728943338438,0.3289863057446457
20260309T044432Z,lightgbm,fall_next_30d,val,0.3513846153846154,0.4283570892723181,0.3860716700473293,0.8140969834897389,0.3427479601668928,0.099993846532521,0.4283570892723181,0.3513846153846154,0.2658589041912262
20260309T044432Z,lightgbm,fall_next_30d,test,0.3182186234817813,0.404320987654321,0.3561395559583145,0.7954685042612022,0.2871104574307083,0.0945201285779886,0.4187242798353909,0.3116385911179173,0.2658589041912262
20260309T045030Z,lightgbm,rth_next_30d,val,0.1421538461538461,0.4743326488706365,0.21875,0.8058923015922225,0.2188174223212063,0.099993846532521,0.4743326488706365,0.1421538461538461,0.0777692764197976
20260309T045030Z,lightgbm,rth_next_30d,test,0.1061806656101426,0.3884057971014493,0.1667703795892968,0.7963490701783766,0.1768209864229857,0.096586560538803,0.4,0.1056661562021439,0.0777692764197976
20260309T045614Z,rule,fall_next_30d,val,0.28088304368248,0.4486121530382596,0.3454650491045638,0.6729922274777034,0.171235532948431,0.1310073226262999,,,
20260309T045614Z,rule,fall_next_30d,test,0.2643348623853211,0.4742798353909465,0.3394698085419735,0.6840970865395282,0.1644778332415364,0.1334761977651921,,,
20260309T045614Z,rule,rth_next_30d,val,0.0769230769230769,0.3018480492813141,0.1226021684737281,0.594973758210817,0.0441408701422901,0.1175927635222447,,,
20260309T045614Z,rule,rth_next_30d,test,0.0921052631578947,0.4057971014492754,0.1501340482573726,0.6486575319368065,0.0530656248164718,0.1163324659421399,,,
20260309T045642Z,decision_tree,fall_next_30d,val,0.492063492063492,0.1627906976744186,0.2446448703494926,0.7866262298917,0.2792196435391475,0.0271367915820564,0.3728432108027006,0.3058461538461538,
20260309T045642Z,decision_tree,fall_next_30d,test,0.4715189873417721,0.1532921810699588,0.2313664596273291,0.7636646083729578,0.2526803913392911,0.0241849073932343,0.3909465020576131,0.2909647779479326,
20260309T045642Z,decision_tree,rth_next_30d,val,0.6329113924050633,0.1026694045174538,0.1766784452296819,0.7624570995072598,0.159482150612077,0.0048612393083502,0.3860369609856263,0.1156923076923076,
20260309T045642Z,decision_tree,rth_next_30d,test,0.6607142857142857,0.1072463768115942,0.1845386533665835,0.7799844830355831,0.1613904039442465,0.004285932955763,0.4608695652173913,0.1217457886676876,
20260309T050811Z,decision_tree,fall_next_30d,val,0.2841007819287576,0.490622655663916,0.3598349381017882,0.8016251280945991,0.2897460366240867,0.1416528213648391,0.4021005251312828,0.3298461538461538,0.2124915139171758
20260309T050811Z,decision_tree,fall_next_30d,test,0.2702997275204359,0.5102880658436214,0.3534022087638048,0.7875389779375688,0.2646805963716866,0.140440838818307,0.4187242798353909,0.3116385911179173,0.2124915139171758
20260309T050811Z,decision_tree,rth_next_30d,val,0.1074626865671641,0.4435318275154004,0.1730076091309571,0.7460812513318886,0.1551954390715649,0.1236846963263799,0.4106776180698152,0.123076923076923,0.0684039087947882
20260309T050811Z,decision_tree,rth_next_30d,test,0.107514450867052,0.5391304347826087,0.1792771084337349,0.7687614568629528,0.1527749899609592,0.1324047145262513,0.4608695652173913,0.1217457886676876,0.0684039087947882
20260309T051219Z,decision_tree,fall_next_30d,val,0.2841007819287576,0.490622655663916,0.3598349381017882,0.8016251280945991,0.2897460366240867,0.1416528213648391,0.4021005251312828,0.32984615384615384,0.21249151391717583
20260309T051219Z,decision_tree,fall_next_30d,test,0.27029972752043596,0.5102880658436214,0.3534022087638048,0.7875389779375688,0.2646805963716866,0.14044083881830705,0.41872427983539096,0.3116385911179173,0.21249151391717583
20260309T051219Z,decision_tree,rth_next_30d,val,0.10746268656716418,0.44353182751540043,0.17300760913095714,0.7460812513318886,0.1551954390715649,0.12368469632637992,0.4106776180698152,0.12307692307692308,0.06840390879478828
20260309T051219Z,decision_tree,rth_next_30d,test,0.10751445086705202,0.5391304347826087,0.17927710843373493,0.7687614568629528,0.15277498996095923,0.13240471452625133,0.4608695652173913,0.1217457886676876,0.06840390879478828
